region,date,author,link,title,tags,summary,segment,research_type
US,2019-12-01,Kai Hsing,https://docs.google.com/presentation/d/1UaiorhgslvwnBrnbv0sdKOa_V7FlpkNhiVk2IAA7AAI/edit#slide=id.g5937e63769_0_0,"Concept testing of budgeting, money management and Perks ideas most relevant for US customers","Spaces, insights, budgeting, saving, Perks, money management, financial wellness, exploratory, evaluative","The main objectives of this research are to explore possible builds and iterations on initial feature concepts, refine and decouple concepts for evaluation with users and non-users at scale and identify concepts with greatest potential user value. In order to test this concept, we looked into primary debit behaviors, top performers, high performers, solid performers and perks. ​​Very few users didn’t want Perks, but its desirability depends on partner relevance and reward structure that delivers individual value.",Product > US,User Research
EU,2018-07-01,Martina Transtroem,https://docs.google.com/presentation/d/1_-YMnfHqb0C1U_76hiTXelxXXF8sZB-0CMi2U_9kOMk/edit#slide=id.g39ce7baca2_0_0,Concepts for providing card delivery information in the timeline. Design based on pulse cards.,"generative, user testing, card delivery, pulse cards, timeline, assistance","Understand how users take actions about their cards (eg: delivery, activation).",Product > Assistance,User Research
EU,2018-07-01,Martina Transtroem,https://docs.google.com/presentation/d/1SQUBvrvAwTYwfwuBRE9gYNFCO14wIoxp9hQwS8ObgkY/edit#slide=id.g39ce7baca2_0_0,Concepts for providing card delivery information in the timeline. Design based on pulse cards.,"generative, user testing, Card delivery, pulse cards, timeline ",Concepts for providing card delivery information in the timeline. Design based on pulse cards.,Product > Engagement,User Research
BR,2019-08-01,Shruti Ramiah,https://docs.google.com/presentation/d/1V1KL8dBco7b6v872Ufg-rWwCd2MaattdiM5eMg0DHpQ/edit?usp=sharing,Condensed summary: Brazil product market fit,"Brazil, product vision, MVP, discovery, user mindsets, non-users, user segments, In-depth in-home interviews, strategic, markets",Condensed summary: Key findings from exploratory research to understand customer expectations and our current product-market fit.,Product > Markets,User Research
EU,2020-07-01,Radina Doneva,https://docs.google.com/presentation/d/1kpPMeGd2Ohqa1tjcAGXwn1QzTgfnWGnVuN3qTVgLTHc/edit?usp=sharing,Confident Explorer Marketing Segment - Financial Management JTBD,"exploratory, interviews, mental models, JTBD, financial management, segmentation, confident explorers, EU",Confident Explorer Marketing Segment - Financial Management JTBD,Product > Engagement,User Research
EU,2019-10-01,Josh Morales,https://docs.google.com/presentation/d/1H8fpT4ZQKsYslMxxPRhtrP88Kkc9gprD9n678mS4EM4/edit#slide=id.g5937e63769_0_0,CS preliminary questionnaire about common contacts for financial products,"generative, survey, CS, credit, overdraft, lending, complaints, suggestions",CS preliminary questionnaire about common contacts for financial products,Product > Bank Products,User Research
EU,2019-08-01,"Alexander Hipp, Josh Morales",https://number26-jira.atlassian.net/wiki/spaces/ProdTech/pages/1584694994/Survey+Customer+Support+Agents,CS survey to identify card delivery problems,"CS, card, card delivery problems",Here we find the results of the interviews to 61 customer agents that answered two questions about card delivery and activation. Some of the card delivery problems found are: address input page is producing invalid addresses; users can’t change the shipping address after KYC is completed; cards being sent out to customers that don’t pay their membership; users are confused by getting two cards; and users lacking information about delivery / tracking code. Most card activation problems are related to: PIN issues; ATM withdrawal; token related; user receives two cards; lack of communication; and not having a paired phone.,Product > Subscriptions,User Research
EU,2020-03-01,Somayeh Ranjbar,https://docs.google.com/presentation/d/10Pzkr-_tAs9dApy0YetRhQXDcU6HvwcvcTqXVMv3GAY/edit#slide=id.g7192efc610_0_2,Design Exploration: content and stories in Membership Home,"Card Sorting, Editorial content, visual stats, personal finance, memberships, evaluative","The goal of this research is to capture users’ mental maps when navigating different contents and their preferred mediums (e.g. text, voice) can help us to decide how to categorize and present content. Some of our findings are that using content as a tool for offering a better personal finance management is highly appealing to the users. While technology related information has been identified as necessary, the format and access point of these types of information has a direct effect on its usage. Also personalized content means understanding users’ implicit desires and intentions in the right moment. A group of editorial content which showcases real humans inside and outside of N26 can lead to a stronger connection with N26.",Product > Subscriptions,User Research
EU,2018-10-01,Jessica Bush,https://docs.google.com/presentation/d/1Ue_fo-1AwJ4yIj5hbUsmQeWI4UMwOwJEH7KXu_UBFvU/edit#slide=id.g43ed0dd1e5_0_0,"Discovery of Shared Spaces - Market Research, Survey, In-depth interview regarding users attitude towards sharing money with others.","Financial interactions, Sharing, Shared Spaces, Spaces, Trust, N26 User, exploratory","Joint accounts are still very much a key offering from traditional bank, but Neo-banks have been quick to propose this feature with the added USP of the simplicity and speed to open such accounts. Two players, Lydia and Bunq have stood out, offering ‘shared accounts’ that can be opened by more than two people, living in different locations.",Product > Engagement,User Research
EU,2019-10-01,Radina Doneva,https://docs.google.com/spreadsheets/d/1L8lwsN0tuCYWwksNZu_JexmV7X0kAHQUX05e1OKhHd8/edit#gid=0,Dynamic  Balance,"interviews, dynamic balance",Collection of user sentiments and quotes from various research sessions (there has been no dedicated session on dynamic balance),Product > Engagement,User Research
EU,2018-04-01,Martina Transtroem,https://docs.google.com/presentation/d/14ErLYJ3nfsjk8gj8ifqoYBkuGrfTM0vJWroJwp5lFh8/edit#slide=id.g39ce7baca2_0_0,Early concept testing for contextual cards and prompts in the feed/timeline - Round 1,"generative, usability testing, Timeline, feed, V4, contextual prompts",Early concept testing for contextual cards and prompts in the feed/timeline - Round 1,Product > Engagement,User Research
BR,2019-05-01,Shruti Ramiah,https://docs.google.com/presentation/d/1kZtuIcX2YUGNXb4jaaPkGEjpRLyI3LJJ3TcegVQV1pA/edit?usp=sharing,"Early evaluation of financial behaviours, needs, attitudes towards banking and neo-banks in Brazil.","Brazil, product vision, MVP, discovery, user mindsets, non-users, user segments, In-depth in-home interviews, strategic, merkets","Early evaluation of financial behaviours, needs, attitudes towards banking and neo-banks in Brazil. Surveys with waitlist members and friends & family in Brazil. ",Product > Markets,User Research
EU,2020-10-01,Radina Doneva,https://docs.google.com/presentation/d/1KNbvS9zGAyII2Ty46oCM5D6eW1yhqRWOavtBqc6MH2M/edit#slide=id.g8f4d4c2180_0_43,EasyFlex Savings Flow for Spaces - round 2,"Savings, Financial products, Spaces, Interest, evaluative",We believe that if we offer a flexible savings product with overnight interest users will move a sufficient amount from their main accounts to the savings space so that N26 can optimise the total balance sheet.,Product > Engagement,User Research
EU,2019-05-01,Jessica Bush,https://docs.google.com/presentation/d/1q773d6cMiC5rC_B4AG2uqjkbcQNmGC40n-bvKbW3CLA/edit?usp=sharing,Evaluate a proposed redesign for the on boarding of new users,"evaluative, usability testing, card sort, interviews, topup, activation, onboarding, add funds, DE",Evaluate a proposed redesign for the on boarding of new users,Product > Engagement,User Research
EU,2020-02-01,Victoria Vivas,https://docs.google.com/presentation/d/1uD_RqArbykwbnJL4dNwZJ-K8fCE7ee_fbPtjcq4KBiY/edit#slide=id.g6f440c792f_0_176,Evaluate the N26 Support Centre,"evaluative, unmoderated, usability testing, Support centre, self service, articles, help, assistance",Identify opportunities to improve the findability of support-related articles.,Product > Assistance,User Research
Global,2020-01-01,"Tim Brewster, Jolene Tan-Davidovic",https://docs.google.com/presentation/d/1vxH1Abm5Blm-_gnvtCjv7ca6BoCxUa__hV6DyxZ7tSQ/edit?usp=sharing,Evaluate the redesign of signup,"evaluative, signup, marketing, conversion, account opening, competitors, non-users, non-customers, funnel, DE, US","Evaluate the redesign of signup (email collected front of funnel) and re-engagement emails, and identify opportunities to improve the ease of understanding and completing N26 sign-up. ",Product > Acquire,User Research
EU,2019-07-01,Victoria Vivas,https://docs.google.com/presentation/d/1jQ-wecuoZY5zZf0HJ13W-Hi0oc_BHkM4XQObG_5QhjY/edit,Evaluate the usability of action buttons within the secure Inbox,"usability testing, secure inbox, self-service, actions button, DE, assistance",Evaluate the usability of action buttons within the secure Inbox.,Product > Assistance,User Research
EU,2019-03-01,Jessica Bush,https://docs.google.com/presentation/d/1nuoczahgL8vUb6Pn4Mm9WcOgyJswY-whWmGFcrSPFRg/edit?usp=sharing,Evaluated the design of the 'Actions' tab,"sprint, usability testing, evaluative, actions tab, moneybeam, payments, transfers, card settings, IA, information architecture, DE",Evaluated the design of the ‘Actions' tab of the N26 app (at the conclusion of the design sprint).,Product > Engagement,User Research
EU,2019-05-01,Jessica Bush,https://docs.google.com/presentation/d/1TrmbiOwUdi-eVYZ3TatUqK_bmyj6ua9QE5veVN2XqNE/edit?usp=sharing,Evaluated the design of the 'Actions' tab (round 2),"usability testing, evaluative, actions tab, moneybeam, payments, transfers, card settings, IA, information architecture, DE",Evaluated the design of the ‘Actions' tab of the N26 app (Round 2).,Product > Engagement,User Research
EU,2019-06-01,Tim Brewster,https://drive.google.com/open?id=1tshxtHrhDuovglZC7BBNq3Eu680wWc_IJn1YDFg0RV4,Evaluated the design of the 'Actions' tab (round 3),"usability testing, evaluative, actions tab, moneybeam, payments, transfers, card settings, IA, information architecture, DE",Evaluated the design of the ‘Actions' tab of the N26 app (Round 3),Product > Engagement,User Research
EU,2019-07-01,Tim Brewster,https://drive.google.com/open?id=1oJP_TvGklV8-0ET2Y7qkYadF_MpCx0FmrbYCAKZ9gW8,Evaluated the design of the 'Actions' tab (round 4),"usability testing, evaluative, actions tab, moneybeam, payments, transfers, card settings, IA, information architecture, DE",Evaluated the design of the ‘Actions' tab of the N26 app (Round 4),Product > Engagement,User Research
EU,2019-11-01,Radina Doneva,https://docs.google.com/presentation/d/1MgSM5T90TgXCiyFAyXrpLFP-tTsMtp7MWtwRdoNnJ9s/edit?usp=sharing,Evaluated the design of the 'Actions' tab (round 5),"usability testing, evaluative, actions tab, moneybeam, payments, transfers, card settings, IA, information architecture, DE",Evaluated the design of the ‘Actions' tab of the N26 app (Round 5),Product > Engagement,User Research
EU,2019-05-01,Jessica Bush,https://docs.google.com/presentation/d/1TrmbiOwUdi-eVYZ3TatUqK_bmyj6ua9QE5veVN2XqNE/edit#slide=id.g55241561d4_0_0,Evaluated the design of the ‘Actions' tab of the N26 app (Round 2).,"Actions tab, MoneyBeam, Payments, Transfers, Card settings, IA, Information architecture, evaluative","Here you can find users’ feedback on design prototypes of the ‘Actions’ tab. Participants mostly preferred the CH prototype. They were under the impression that they would be able to perform actions more quickly. They also appreciated seeing the complete range of options.  The TT prototype was appreciated for its more minimalist layout, but participants found too much of a divide between the top (card settings) and bottom components (payment actions). Most were also confused about the division between physical and virtual cards. Overall, participants were satisfied to have more density of information. Their focus was on being able to make operations as fast as possible.",Product > Engagement,User Research
EU,2019-06-01,Tim Brewster,https://docs.google.com/presentation/d/1tshxtHrhDuovglZC7BBNq3Eu680wWc_IJn1YDFg0RV4/edit#slide=id.g5c7d6ddc19_1_228,Evaluated the design of the ‘Actions' tab of the N26 app (Round 3).,"Actions tab, MoneyBeam, Payments, Transfers, Card settings, IA, Information architecture, valuativee","In this round of user research we aim at understanding how users interact with the redesigned Actions tab (payments and card settings). As for payments, you can find insights on the topics ‘Payment to an institution’, ‘International payment’, ‘MoneyBeam payment’, ‘Request money’ and ‘Find an ATM/Cash26’. As for the cards settings, we have findings on ‘Lock card’ and ‘Request additional card’.",Product > Engagement,User Research
EU,2019-07-01,Tim Brewster,https://docs.google.com/presentation/d/1oJP_TvGklV8-0ET2Y7qkYadF_MpCx0FmrbYCAKZ9gW8/edit#slide=id.g55241561d4_0_0,Evaluated the design of the ‘Actions' tab of the N26 app (Round 4).,"Actions tab, MoneyBeam, Payments, Transfers, Card settings, IA, Information architecture, evaluative","With this research we aim to understand how we might make Payments accessible to all by reducing complexity and anticipating user needs. Therefore you can find here some user testing findings on the actions tab perceptions and entry point expectations, as well as payments and cards insights when using this tab.",Product > Engagement,User Research
EU,2019-03-01,Jessica Bush,https://docs.google.com/presentation/d/1nuoczahgL8vUb6Pn4Mm9WcOgyJswY-whWmGFcrSPFRg/edit#slide=id.g46e9138b67_12_0,"Evaluated the design of the ‘Actions' tab of the N26 app, at the conclusion of the design sprint.","Actions tab, MoneyBeam, Payments, Transfers, Card settings, IA, Information architecture, Sprint, evaluative",This user research aims to review the ‘Actions’ section as developed during the Design sprint. Its key take-aways are: the Action tab delivers what is expected; features in the action tab give participants a better sense of control; some of the copy can be misleading and should be reviewed; participants had little interest to explore in the ‘Actions’ tab and expected more adaptability; and having ‘Favorites’ makes it faster and more secure for important payments to be made.,Product > Engagement,User Research
US,2019-03-01,Shruti Ramiah,https://docs.google.com/presentation/d/1PmGwb-pkMntgnYCe6ajclamWyWj4wukwQGCzlMhsL8w/edit?usp=sharing,"Evaluation of financial behaviours, user needs and product-market fit in the US.","USA, product vision, discovery, non-users, waitlist, user mindsets, Survey, panel discussions, In-depth interviews, markets, user segments","Evaluation of financial behaviours, user needs and product-market fit in the US. Understanding potential users. What people expect from a bank. How people use their bank accounts. Potential value propositions. Messaging.",Product > US,User Research
EU,2018-06-01,Martina Transtroem,https://docs.google.com/presentation/d/1hNCROFQZ1HSFE3dJpN8W4DPWxhB2zhSiIOO554QTSUU/edit#slide=id.g39ce7baca2_0_0,Evaluative research exploring chatbot related concepts,"evaluative, user testing, chatbot, assistance",Evaluative research exploring chatbot related concepts,Product > Assistance,User Research
EU,2020-04-01,Jolene Tan-Davidovic,https://docs.google.com/presentation/d/1Pc9K6iAC2JVWf0pYIO-5ghBjxxYWIRAZ2UB3aa8XtGU/edit?usp=sharing,Examining non-customer’s thoughts and feelings about the Covid-19 banner and accompanying blogpost on our ES-homepage.,"evaluative, usability testing, remote, unmoderated, marketing, website, non-users, non-customers, ES",Examining non-customer’s thoughts and feelings about the Covid-19 banner and accompanying blogpost on our ES-homepage.,Product > Acquire,User Research
EU,2019-12-01,"Alexander Hipp, Josh Morales",https://number26-jira.atlassian.net/wiki/spaces/ProdTech/pages/1610714073/2+Experiment+Basic+info-card+with+expected+delivery+date,Experiment: Basic info-card with expected delivery date,"Validation, A/B testing, Info-card, experiment, delivery date, card delivery, card activation, memeberships","With this experiment we try to solve the problem of users not knowing the current status of the card delivery. Therefore, we want to  make a 34:33:33 split between 3 groups (the control group receives the current infocard, the test group 1 receives the basic info-card with steps and progress bar + expected delivery date and the test group 2 receives the info card with expected delivery date and progress bar). In this link you can find insights on how this experiment was designed.",Product > Subscriptions,User Research
EU,2019-12-01,"Fadeelah Alhoraibi, Josh Morales",https://number26-jira.atlassian.net/wiki/spaces/ProdTech/pages/1627063780/1+Experiment+Basic+info-card+with+steps+and+progress+bar,Experiment: Basic info-card with steps and progress bar,"Info-card, experiment, steps, progress bar, card delivery, card activation, ab test, validation","With this experiment we try to solve the problem of users not knowing the current status of the card delivery. Therefore, we want to  make a 50:50 split between 2 groups (the control group receives the current infocard and the test group receives the info card with expected delivery date and progress bar). In this link you can find insights on how this experiment was designed.",Product > Subscriptions,User Research
EU,2018-07-01,David Quiring,https://docs.google.com/presentation/d/1KBs4DkvBHXmnaE6uzgOJt6sopNq0itqORj3MAh71Rqs/edit?usp=drive_open&ouid=102222029936753810450,Exploration into version 2.0 for Insurances,"exploratory, Survey, Interviews, Prototypes testing, insurance",Exploration into version 2.0 for Insurances,Product > Bank Products,User Research
EU,2020-04-01,Victoria Vivas,https://docs.google.com/presentation/d/1YevbAriZPu0VNPTsAw-6CuiLVDEKHU-aHeBrYa5DqXs/edit#slide=id.g76cb8b17e3_0_485,Exploration of German Market borrowing needs and perception on Instalments. Additionally Evaluation of instalments flow.,"exploratory, evaluative, Interviews, Usability testing, Borrowing needs, Credit, Instalments",Understanding users borrowing needs and perception on Instalments.,Product > Bank Products,User Research
EU,2019-12-02,Victoria Vivas,https://docs.google.com/presentation/d/1L_WjuuMcsoZjkkRptreE8OLs-BS60KuV8waGM0qwiCU/edit#slide=id.g33c1ed328e_3_49,Exploratory and Evaluative research about how users think and interact with money disputing situations (chargeback),"evaluative, usability, self. service, chargeback, assistance",Understand how users think about disputing money situations (chargeback) and in which cases they will consider taking action (Card has been compromised) and what would enable them to take action (flow).,Product > Assistance,User Research
EU,2020-03-01,Victoria Vivas,https://docs.google.com/presentation/d/1rIl1psBk2T1lD329bR7-0gxfjBuHnPQnnFCxrxADfDY/edit#slide=id.g76cb8b17e3_0_485,Exploratory and Evaluative research about the chatbot as a support channel for seeking support.,"evaluative, exploratory, Interviews, Usability Testing, Chatbot, support, help, assistance","Understand how users/non users expect, perceive and interact with a chatbot when seeking support. ",Product > Assistance,User Research
EU,2019-12-01,Victoria Vivas,https://docs.google.com/presentation/d/1SrOXtUAaFetGn80-6hepvYBScLwsLgw7fv2fV23UMbY/edit#slide=id.g5937e63769_0_0,Exploratory research about the current taxonomy,"exploratory, interviews, surveys, co creation session, label, queries, CS, assistance","This system refers to the labels we use internally to identify user queries. A series of research methods were used to define a new taxonomy comprising 6 categories, 56 tags and 3 intents. Using an auto tagging system, it would reduce dependency on specialists to ensure consistency, improve granularity of information, free-up time for specialists to focus on customers and reduce training time for new specialists.",Product > Assistance,User Research
EU,2020-07-01,Somayeh Ranjbar,https://docs.google.com/presentation/d/1i3HDCSqGaOC5O6vLWyfU-eXkAX15OpE7LbvHYU_ndTg/edit#slide=id.g888a15ec1c_0_132,Explore Tab Concept Test,"Interviews, Statistics, discovery, Membership, lifecycle",Analysis of the results doesn’t show any significant preference between our proposed concepts from users’ perspective.,Product > Subscriptions,User Research
US,2019-08-01,Kai Hsing,https://docs.google.com/presentation/d/1ZNsMJfJ0MrHQuP3Hb_bQAghRVJnvn4i6dXi86Yac4OE/edit?usp=sharing,Exploring opportunities for Premium and potential US value props,"Premium, US Premium, credit cards, Perks, budgeting, money management, overdraft, money movement, ATMs, mobile check deposit, travel, exploratory, generative, strategic","The objectives of this research are to better understand behaviors and needs of potential Premium customers; evaluate prospective Premium features and benefits; and explore possible Premium product offers and value props. One of our main findings is that when we talked to people about a debit card with rewards, we inevitably ended up talking about credit. Based on what we heard from target customers, we’ve identified 3 opportunity areas for a N26 premium product in the US: a debit card with rewards that serves to reinforce debit spending rather than compete directly with credit; a credit card with radical transparency and guardrails that help avoid the traps of debt; and a best-in-class, comprehensive money management product that goes beyond what people expect from a bank.",Product > US,User Research
EU,2020-02-01,"Prama Ayalasomayajula, Radina Doneva",https://docs.google.com/presentation/d/1fx7n_CjjfgxFqBCoVTYAhLrg0ZhefTFRuK8s3-UJgZg/edit#slide=id.g7e1cf6b072_1_84,First time Funding Experience  - How does the concept of onboarding perform with users when they log in for first time,"First time Funding, Onboarding , Notifications, Cards, evaluative","With this research we want to enable users to set up their account with ease. Some of our findings are: Some users experienced challenges while signing up but this was not common across the board. The challenges included (1) entering incorrect pin, (2) resolution of issues with customer care. Most users wanted to wait for activating their card to add money or were waiting to receive salary in their accounts, had not created. Also, Apple pay wallet as a step was not clear. Users did not understand that they could use it till the card arrived. Finally, users expected to be introduced to the important features of the app using a video or in other ways.",Product > Engagement,User Research
EU,2019-04-01,"Jessica Bush, Xiangyi",https://docs.google.com/presentation/d/18rTguk0SZzo4a_B0XxWcfKx8OwyysnGYxFBhm1okPzE/edit#slide=id.g5474d0c8d1_1_0,Framework: understanding how users perceive different types of information they receive in the main screen of N26,"evaluative, card sorting, prototype testing, qualitative in person interviews, spaces in feed, alert, features updates, home screen, balance, recurring transactions, N26 Users",Understanding how users perceive different types of information they receive in the main screen of N26,Product > Engagement,User Research
EU,2020-03-01,Mireia Rosset,https://docs.google.com/presentation/d/1oJ88mA4b5jjcdVAaqEDK2YxA7ONKpxhzoTEYPDJ6cQ4/edit#slide=id.g6bbe322f9a_0_2,Global Perks Concept test & Insights from France and Germany,"Perks, Global Perks, discounts, rewards, benefits, cashback, concept testing, user interviews, generative, exploratory","As for the goals of this research, we want to understand local habits and preferences when it comes to managing finances, spent and savings; understand preferences and use of rewards and loyalty programs, both with the bank and overall; Identify market similarities and differences that could impact the product strategy and development, specially around preferred partnerships and categories; Identify relevant concepts and the mechanics with more potential to help achieve business goals.",Product > US,User Research
EU,2021-03-05,Maria Hock,https://docs.google.com/presentation/d/17J1X_t4l7a9j7OXZEQq0p4qWHIJ2EB1TNE2Y7FN8Njk/edit#slide=id.g6bbe322f9a_0_16,GSDD concept: product selection,"memberships, product selection, explorative, evaluative, usability, plan, benefits list",Concept testing on how we display benefits in product selection and upgrade funnel,Product > Subscriptions,User Research
EU,2018-10-01,Maja Tisel,https://docs.google.com/presentation/d/1tWIjAourWyekNHO4f08Ztn54dBPKh9OdnpSi6MC9t0s/edit?usp=sharing,How might we teach children about money when physical cash disappears?,"exploratory, interviews, children, vision, future, EU",How might we teach children about money when physical cash disappears?,Product,User Research
EU,2019-10-01,Radina Doneva,https://docs.google.com/presentation/d/1ft66S_s0CIacicuhYI0D0FEjA_L9kbxbtD_vIUlsSTw/edit#slide=id.g54ffb9b0d7_0_75,Info cards,"evaluative, card sorting, prototype testing, qualitative, in person, interviews, info cards, feed, onboarding, user education",Understand how user will interact with transaction-related info cards as a feature onboarding mechanism; test initial designs and copy.,Product > Engagement,User Research
EU,2020-04-01,Radina Doneva,https://www.figma.com/file/HadFr9v8AS93TwM7PPlPJf/Insights?node-id=0%3A1,Insights - Concept Testing Validation,"evaluative, usability testing, desirability, V5, insights, statistics, EU",Insights - Concept Testing Validation,Product > Engagement,User Research
EU,2019-10-01,Josh Morales,https://docs.google.com/presentation/d/1Ipk0LdN4nJw4Nn-ZNt04rKmph_iWB_vGVIPeZVazf-E/edit#slide=id.g5937e63769_0_0,Interest-bearing Financial Products Survey Analysis (BUX),"generative, evaluative, survey, borrowing, savings, investments, BUX, financial habits",Interest-bearing Financial Products Survey Analysis (BUX),Product > Bank Products,User Research
EU,2020-03-01,Maria Hock,https://docs.google.com/presentation/d/1OqDNp9DoYp-W9xHM0kxBTXZPS7pALT2azVtkF4gSHdA/edit#slide=id.g5937e63769_0_0,Interviews and survey to understand needs and behaviours around foreign currency transfers in EU,"TransferWise, money transfer, foreign currency transfer, international transfer, strategic, exploratory","The main goal of this research is to improve the user experience for international transfers with N26 (discoverability, usability, copy). We found that FX Transfers are perceived as a complex, daunting topic, but most respondents said they feel comfortable doing FX transfers. There are six main use-cases for FX Transfers: 1)Paying bills at another country. 2) Helping family abroad. 3) Paying back friends and family. 4) Doing purchases in another currency. 5) Investing or saving in another currency. 6) Doing business with international clients.",Product > Engagement,User Research
